id,kabupaten_id,skema,pemegang_izin,desa,kecamatan,nomor_sk,tanggal_sk,masa_berlaku,tanggal_berakhir_izin,nomor_pks,luas_ha,jenis_hutan,status_kawasan,rkps_status,peta_status,keterangan,fasilitator,jumlah_kk,created_at,updated_at
526aa52f-4c34-40b5-9372-f29626b9a482,PALANGKA RAYA,HA,RUNGAN,MUNGKU BARU,RAKUMPIT,7924/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"33/Y,AMAL/PKS/GUMAS/VIII/2025","5,416.00",Mineral/ Gambut,------,tidak ada,ada,,AMAL,35,2026-01-06 04:23:49.382+00,2026-01-08 02:01:52.571151+00
302eafa8-299c-48d8-87f7-1f4ff13c02f7,GUNUNG MAS,HA,DAYAK NGAJU LEWU TUMBANG MALAHOY,TUMBANG MALAHOI,RUNGAN,7919/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"28/Y,AMAL/PKS/GUMAS/VIII/2025","2,012.00",Mineral,------,ada,ada,,AMAL,354,2026-01-08 01:47:02.868+00,2026-01-08 02:48:48.082209+00
4dd37add-314c-4d97-ba25-abe0da949a07,GUNUNG MAS,HKM,MIAR HAYAK,MANGKAWUK,RUNGAN BARAT,5687/MENLHK-PSKL/PKPS/PSL.0/10/2017,26/10/2017,35 TAHUN,26/10/2052,"14/Y,AMAL/PKS/GUMAS/VIII/2025","1,295.00",Mineral,HPT,tidak ada,ada,,AMAL,121,2026-01-08 01:47:02.699+00,2026-01-08 02:48:42.092999+00
70ad5cb1-489d-49f8-8ada-22a22aaa6116,GUNUNG MAS,LPHD,RABAMBANG,RABAMBANG,RUNGAN BARAT,6605/MENLHK-PSKL/PKPS/PSL.0/12/2016,15 Des 2016,35 TAHUN,15 Des 2051,"03/Y,AMAL/PKS/GUMAS/VIII/2025",440.00,Mineral,HPT,tidak ada,ada,,AMAL,92,2026-01-08 01:47:00.886+00,2026-01-08 02:48:42.969282+00
8713012d-ffaf-4e18-b819-3c6334d4059a,GUNUNG MAS,HA,DAYAK NGAJU TUMBANG KUAYAN,TUMBANG KUAYAN,RUNGAN BARAT,7917/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"29/Y,AMAL/PKS/GUMAS/VIII/2025","1,250.00",Mineral,------,ada,ada,,AMAL,205,2026-01-08 01:47:05.657+00,2026-01-08 02:48:47.342881+00
d51a4726-fcde-4c09-86a8-c133a0ef7e2a,GUNUNG MAS,HA,DAYAK NGAJU LEWU TUMBANG BAHANEI,TUMBNG.BAHANEI,RUNGAN BARAT,7918/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"30/Y,AMAL/PKS/GUMAS/VIII/2025","5,110.00",Mineral,------,ada,ada,,AMAL,70,2026-01-08 01:47:03.36+00,2026-01-08 02:48:43.643113+00
d3b01fc9-4ab9-467c-b215-d8aa40617cb2,GUNUNG MAS,HKM,BATU BULAN,TUSANG RAYA,RUNGAN BARAT,1311/MENLHK-PSKL/PKPS/PSL.0/3/2018,29 Maret 2018,35 TAHUN,29 Maret 2053,"15/Y,AMAL/PKS/GUMAS/VIII/2025","2,925.00",Mineral,HPT,tidak ada,ada,,AMAL,139,2026-01-08 01:47:06.739+00,2026-01-08 02:48:41.987756+00
10b517cd-2d7f-43fa-b11b-d4614ad94600,GUNUNG MAS,HKM,HAPAKAT MAHAGA HIMBA,BATU PUTER,RUNGAN HULU,10461/MENLHK-PSKL/PKPS/PSL.0/9/2023,18 Sep 2023,35 TAHUN,18 Sep 2058,"16/Y,AMAL/PKS/GUMAS/VIII/2025",460.00,Mineral,HPT,tidak ada,ada,,AMAL,148,2026-01-08 01:47:06.586+00,2026-01-08 02:48:42.74623+00
a611adca-6be1-4bf5-b6df-432fc033591f,GUNUNG MAS,HKM,BUKIT BATU,JANGKIT,RUNGAN HULU,10459/MENLHK-PSKL/PKPS/PSL.0/9/2023,18/09/2023,35 TAHUN,18/09/2058,"19/Y,AMAL/PKS/GUMAS/VIII/2025",196.00,Mineral,HPT,tidak ada,ada,,AMAL,93,2026-01-08 01:47:01.706+00,2026-01-08 02:48:42.56517+00
a4de561c-30bb-41d2-9b45-a8496262f958,GUNUNG MAS,HTR,SEI ANTAI PARANG KAPAKAT,SEI ANTAI,RUNGAN HULU,6313/MENLHK-PSKL/PKPS/PSL.0/9/2016,28 Sep 2018,35 TAHUN,28 Sep 2053,"08/Y,AMAL/PKS/GUMAS/VIII/2025","1,466.00",Mineral,HPT,tidak ada,ada,,AMAL,41,2026-01-08 01:46:59.545+00,2026-01-08 02:48:46.556694+00
48a8a5ae-1162-4f91-8eca-ba01e838409f,GUNUNG MAS,HKM,TUMBANG LAPAN BERKARYA,TUMBANG LAPAN,RUNGAN HULU,10460/MENLHK-PSKL/PKPS/PSL.0/9/2023,18 Sep 2023,35 TAHUN,18 Sep 2058,"017/Y,AMAL/PKS/GUMAS/VIII/2025",177.00,Mineral,HPT,tidak ada,ada,,AMAL,67,2026-01-08 01:47:04.043+00,2026-01-08 02:48:43.560449+00
13b58582-93da-42ef-a4d9-57b195c812ba,GUNUNG MAS,HTR,TUWE BERSAMA MAJU,TUMBANG TUWE,RUNGAN HULU,8851/MENLHK-PSKL/PKPS/PSL.0/12/2018,27 Des 2018,35 TAHUN,27 Des 2053,"09/Y,AMAL/PKS/GUMAS/VIII/2025",936.00,Mineral,HPT,tidak ada,ada,,AMAL,74,2026-01-08 01:46:57.399+00,2026-01-08 02:48:42.294499+00
1b6a0775-1df8-4c3b-a416-3c27a0e93148,GUNUNG MAS,IUPHHK,KUD RIAK SIMIN,SEPANG SIMIN,SEPANG,915/MENLHK-PSKL/PKPS/PSL.0/03/2020,3 Maret 2020,35 TAHUN,3 Maret 2053,"34/Y,AMAL/PKS/GUMAS/XII/2025","4,525.00",Mineral/ Gambut,HPT,tidak ada,ada,,AMAL,167,2026-01-08 01:46:58.874+00,2026-01-08 02:48:42.849113+00
627f68fe-e300-4bad-b72d-cdc135ca12be,KAPUAS,LPHD,PETAK PUTI / TAMBUN BAPUTI,PETAK PUTI,TIMPAH,SK Gubernur KalTeng Nomor: 188.44/403/2015,31/7/2015,35 TAHUN,31/7/2050,22/Y.AMAL/PKS/KAPUAS/XII/2025,"5,719",MINERAL/GAMBUT,HL,tidak ada,ada,,AMAL,33,2026-01-08 01:47:10.444+00,2026-01-08 02:48:45.391562+00
